ID Name Ra Dec NumGS Coverage
112 Alessi-Teutsch_3 118.28551424 -53.00078285 1 0.5796
113 Alessi-Teutsch_5 332.04315074 61.05242842 0 0.0
114 Alessi-Teutsch_8 180.70298318 -60.95324402 2 0.6084
115 Alessi-Teutsch_9 51.86276858 34.88647655 0 0.0
116 Alessi-Teutsch_10 56.3306327 29.74158911 0 0.0
117 Alessi-Teutsch_11 304.10168931 52.07425148 0 0.0
118 Alessi-Teutsch_12 255.41145475 -59.00764117 2 0.8832
119 Andrews-Lindsay_5 281.07817144 -4.92992738 11 0.9688
120 Antalova_1 262.21135724 -31.61441196 0 0.0
121 Antalova_2 262.44418977 -32.55098917 1 0.278
122 Archinal_1 283.70852293 5.54980035 6 0.9708
123 Arp_2 292.17692951 -30.3536403 3 0.664
124 Auner_1 106.06351519 -19.7468929 6 0.9652
125 Aveni-Hunter_1 354.26258138 48.49009576 1 0.5192
126 BDSB_30 333.66292652 61.44353163 3 0.9796
127 BDSB_82 93.73365452 12.34906477 3 0.8412
128 BDSB_91 96.31552174 -10.55788755 5 0.8216
129 BDSB_93 104.29515076 -8.19506888 3 0.8808
130 BDSB_96 106.33162133 -12.32451056 5 0.9992
131 BDSB_124 280.80150952 -3.62580196 5 0.998
132 BH_19 121.7684795 -32.35786541 8 1.0
133 BH_23 123.44775389 -36.3562227 2 0.6692
134 BH_37 128.94934769 -43.60432864 7 0.9256
135 BH_54 132.41172498 -44.35319866 3 0.8512
136 BH_55 134.04050267 -39.52239231 1 0.262
137 BH_56 134.3693655 -43.22044909 0 0.0
138 BH_66 141.31666874 -54.71944957 7 0.9956
139 BH_67 141.68430393 -51.27311496 4 0.7756
140 BH_72 142.8419768 -53.04170424 11 0.99
141 BH_73 142.98187661 -50.22324762 6 0.9152
142 BH_75 143.80069106 -54.62675864 3 0.838
143 BH_78 145.95099011 -56.57429224 6 0.9924
144 BH_79 146.1630838 -53.27497294 4 0.9044
145 BH_84 150.33053281 -58.22375019 17 0.99
146 BH_85 150.46632467 -49.56158275 3 0.8824
147 BH_87 151.14551475 -55.39112823 6 0.9588
148 BH_88 151.61548895 -51.55472154 1 0.4932
149 BH_90 153.05213814 -58.07528763 1 0.2644
150 BH_92 154.77382641 -56.42269665 5 0.9504
151 BH_99 159.55376765 -59.10926371 1 0.5072
152 BH_106 163.34897088 -54.24813215 0 0.0
153 BH_110 166.77134347 -61.50967266 11 1.0
154 BH_111 167.31660268 -63.83025709 9 0.9996
155 BH_118 170.75696188 -58.54575293 4 0.9624
156 BH_131 186.56167898 -63.41572946 5 0.9964
157 BH_132 186.73128048 -64.05576826 8 0.9996
158 BH_140 193.45777358 -67.17982901 5 0.966
159 BH_144 198.8332198 -65.91788942 5 1.0
160 BH_150 204.51716848 -63.34404062 11 1.0
161 BH_151 205.04414134 -61.72825146 16 0.9928
162 BH_164 222.3238529 -66.39249343 1 0.4436
163 BH_176 234.78082723 -50.05123204 3 0.928
164 BH_184 242.76562051 -55.31961628 3 0.8512
165 BH_200 252.48219752 -44.1923048 6 0.816
166 BH_202 253.78720833 -40.95669515 6 0.9972
167 BH_205 254.0326691 -40.65487212 3 0.8496
168 BH_211 255.52714971 -41.1121459 4 0.9068
169 BH_217 259.07312716 -40.81763023 9 1.0
170 BH_221 259.59353676 -32.38955234 3 0.864
171 BH_222 259.6453276 -38.42510941 1 0.654
172 BH_229 262.77645316 -29.98455715 6 0.958
173 BH_231 262.94560595 -31.91502594 5 1.0
174 BH_245 266.56445156 -29.706056 14 0.9884
175 BH_261 273.52388355 -28.64037724 7 0.9932
176 Barkhatova_1 313.40648205 46.02079841 2 0.9116
177 Basel_1 282.02652767 -5.86988899 3 0.8888
178 Basel_4 87.24311675 30.19188752 6 0.992
179 Basel_8 98.57611698 7.8608743 0 0.0
180 Basel_10 34.86458596 58.29413605 3 0.8028
181 Basel_13 318.30670411 46.55076462 3 0.9784
182 Basel_17 167.63728151 -59.03539336 4 0.9532
183 Basel_18 201.94883152 -62.30282084 2 0.474
184 Basel_11A 109.29335437 -13.9825289 1 0.25
185 Basel_11B 89.55009155 21.9736243 4 0.9884
186 Berkeley_1 2.45552746 60.47095503 5 0.9544
187 Berkeley_2 6.32180813 60.39113775 7 0.9592
188 Berkeley_4 11.29923015 64.39012758 6 0.948
189 Berkeley_6 27.80588167 61.05801023 8 0.992
190 Berkeley_7 28.5425983 62.36606203 7 0.9992
191 Berkeley_8 30.29730603 75.49071205 2 0.7608
192 Berkeley_9 53.17389187 52.65192139 1 0.3736
193 Berkeley_10 54.88477481 66.48904483 2 0.508
194 Berkeley_11 65.12077076 44.92386325 3 0.8664
195 Berkeley_12 71.09584468 42.69143768 4 0.9196
196 Berkeley_13 73.95276608 52.81025872 3 0.956
197 Berkeley_14 74.93325197 43.48151676 1 0.26
198 Berkeley_15 75.52380308 44.50728146 5 0.792
199 Berkeley_17 80.14147184 30.57427186 1 0.3304
200 Berkeley_18 80.5536708 45.46785151 2 0.786
201 Berkeley_19 81.01323535 29.57177077 1 0.4676
202 Berkeley_20 83.15437664 0.18844258 5 0.9936
203 Berkeley_21 87.948987 21.81077389 6 0.9984
204 Berkeley_22 89.61504356 7.75885126 4 0.8724
205 Berkeley_23 98.31505922 20.53468901 5 0.996
206 Berkeley_24 99.44505396 -0.87700037 4 0.9716
207 Berkeley_25 100.31229688 -16.48689544 1 0.5
208 Berkeley_27 102.83742854 5.76846219 6 0.8688
209 Berkeley_28 103.02929723 2.91875935 13 0.9984
210 Berkeley_29 103.26589601 16.92587374 5 0.988
211 Berkeley_30 104.4368525 3.22755948 12 1.0
212 Berkeley_31 104.40671972 8.28813294 1 0.4888
213 Berkeley_32 104.53104054 6.43326437 10 0.9772
214 Berkeley_33 104.46237821 -13.22613936 7 0.9952
215 Berkeley_34 105.09448823 -0.23681353 1 0.384
216 Berkeley_35 107.48016823 2.73106662 14 1.0
217 Berkeley_36 109.10023535 -13.19347297 6 0.9932
218 Berkeley_37 110.06892409 -0.99820522 8 1.0
219 Berkeley_39 116.70733306 -4.67270544 5 0.9708
220 Berkeley_43 288.87999432 11.26878748 8 1.0
221 Berkeley_44 289.31444576 19.54819668 10 1.0
222 Berkeley_45 289.77525581 15.71689671 10 0.978
223 Berkeley_47 292.12645067 17.36091091 5 0.9792
224 Berkeley_49 299.8686188 34.64270729 10 1.0
225 Berkeley_50 302.50652712 34.9682249 19 1.0
226 Berkeley_51 302.97176476 34.4038843 7 1.0
227 Berkeley_52 303.62144322 28.9469945 4 0.8792
228 Berkeley_53 313.98152488 51.0512391 4 0.872
229 Berkeley_54 315.74246296 40.42927571 5 0.9228
230 Berkeley_55 319.23479269 51.76087839 4 0.9788
231 Berkeley_56 319.38483781 41.82826884 1 0.38
232 Berkeley_58 0.05464947 60.92973741 2 0.6692
233 Berkeley_59 0.56967249 67.42861858 1 0.538
234 Berkeley_60 4.43697017 60.94083702 3 0.412
235 Berkeley_61 12.0425672 67.19772949 1 0.3636
236 Berkeley_62 15.31337423 63.9414744 2 0.7508
237 Berkeley_63 34.85071123 63.71936307 1 0.328
238 Berkeley_64 35.43259371 65.88846252 3 0.6328
239 Berkeley_65 39.76646771 60.40004842 4 0.9788
240 Berkeley_66 46.01923513 58.74200287 1 0.672
241 Berkeley_67 69.45900837 50.77596673 3 0.8352
242 Berkeley_68 71.04949685 42.1612288 2 0.5984
243 Berkeley_69 81.09088599 32.60815438 5 0.99
244 Berkeley_70 81.45435788 41.95006707 2 0.856
245 Berkeley_71 85.24182446 32.27269948 4 0.8432
246 Berkeley_72 87.55564 22.24914464 5 0.9632
247 Berkeley_73 95.5200545 -6.31894792 3 0.8
248 Berkeley_75 102.24899678 -23.9959872 1 0.6752
249 Berkeley_76 106.65936411 -11.72358075 1 0.5688
250 Berkeley_77 110.35871954 -3.23881937 9 0.9508
251 Berkeley_78 110.90881521 5.37127535 6 0.9992
252 Berkeley_79 281.24850359 -1.140767 7 0.9828
253 Berkeley_80 283.58993315 -1.21571479 8 0.9956
254 Berkeley_81 285.41687882 -0.45703407 7 0.9552
255 Berkeley_82 287.83794016 13.11651856 5 0.9996
256 Berkeley_83 300.35617621 28.6434224 3 0.9636
257 Berkeley_84 301.20042294 33.9857668 4 0.836
258 Berkeley_85 304.69858065 37.73113958 4 0.7444
259 Berkeley_86 305.07716845 38.67991353 1 0.7308
260 Berkeley_87 305.40690126 37.41471584 5 0.9432
261 Berkeley_89 306.11543823 46.0510988 10 1.0
262 Berkeley_90 308.81179073 46.84413145 9 0.9996
263 Berkeley_91 317.72048663 48.54150942 2 0.824
264 Berkeley_92 321.19856879 57.52849832 4 0.8992
265 Berkeley_93 328.87186559 63.92713143 1 0.4444
266 Berkeley_94 335.71765755 55.86971203 9 0.9924
267 Berkeley_95 337.07120591 59.13436568 5 0.9816
268 Berkeley_96 337.47298281 55.41181909 11 0.8488
269 Berkeley_97 339.85246881 59.00574772 4 0.872
270 Berkeley_98 340.66984316 52.40534299 4 0.8636
271 Berkeley_99 350.25248882 71.77482633 1 0.3596
272 Berkeley_100 351.48868492 63.77997815 4 0.9396
273 Berkeley_101 353.20657262 64.20633438 4 0.952
274 Berkeley_102 354.67102976 56.64042528 2 0.4092
275 Berkeley_103 356.30326981 59.29941378 3 0.918
276 Berkeley_104 0.85813164 63.59006219 4 0.984
277 Berkeley_14A 75.04552364 43.67924222 2 0.9
278 Bica_2 308.31910613 41.30050966 2 0.822
279 Bica_3 276.51741804 -13.06040475 16 1.0
280 Bica_631 263.67864483 -33.47853905 3 0.896
281 Biurakan_2 302.32201209 35.46390324 4 0.938
282 Blanco_1 0.91498392 -30.01061575 0 0.0
283 Bochum_1 96.25665201 19.84623012 9 0.9124
284 Bochum_2 102.20712585 0.37711184 8 0.9284
285 Bochum_3 105.86430194 -5.01132854 7 0.8776
286 Bochum_4 112.89675182 -17.19866813 1 0.6316
287 Bochum_10 160.56780423 -59.15903245 1 0.252
288 Bochum_13 259.33280153 -35.53377806 3 0.7392
289 Bochum_14 270.50036428 -23.69697077 17 1.0
290 Bochum_15 115.07173333 -33.55083729 2 0.5064
291 Briceno_1 81.08336307 1.69561227 0 0.0
292 CBJC_8 313.50411752 44.87127566 0 0.0
293 CMa_2 105.68205942 -7.75662131 3 0.8112
294 COIN-Gaia_3 18.72726577 60.50717156 3 0.9036
295 COIN-Gaia_4 26.14677547 58.7513819 0 0.0
296 COIN-Gaia_5 27.46268104 58.05006828 0 0.0
297 COIN-Gaia_6 28.13787069 58.63532703 2 0.766
298 COIN-Gaia_7 33.75347067 58.45906461 1 0.4908
299 COIN-Gaia_8 39.16495578 50.01007597 0 0.0
300 COIN-Gaia_9 47.71429442 48.02966917 0 0.0
