ID Name NumGS Coverage
204 Berkeley_22 4 0.8724
205 Berkeley_23 5 0.996
206 Berkeley_24 4 0.9716
207 Berkeley_25 1 0.5
208 Berkeley_27 6 0.8688
209 Berkeley_28 13 0.9984
210 Berkeley_29 5 0.988
211 Berkeley_30 12 1.0
212 Berkeley_31 1 0.4888
213 Berkeley_32 10 0.9772
214 Berkeley_33 7 0.9952
215 Berkeley_34 1 0.384
216 Berkeley_35 14 1.0
217 Berkeley_36 6 0.9932
218 Berkeley_37 8 1.0
219 Berkeley_39 5 0.9708
220 Berkeley_43 8 1.0
221 Berkeley_44 10 1.0
222 Berkeley_45 10 0.978
223 Berkeley_47 5 0.9792
224 Berkeley_49 10 1.0
225 Berkeley_50 19 1.0
226 Berkeley_51 7 1.0
227 Berkeley_52 4 0.8792
228 Berkeley_53 4 0.872
229 Berkeley_54 5 0.9228
230 Berkeley_55 4 0.9788
231 Berkeley_56 1 0.38
232 Berkeley_58 2 0.6692
233 Berkeley_59 1 0.538
234 Berkeley_60 3 0.412
235 Berkeley_61 1 0.3636
236 Berkeley_62 2 0.7508
237 Berkeley_63 1 0.328
238 Berkeley_64 3 0.6328
239 Berkeley_65 4 0.9788
240 Berkeley_66 1 0.672
241 Berkeley_67 3 0.8352
242 Berkeley_68 2 0.5984
243 Berkeley_69 5 0.99
244 Berkeley_70 2 0.856
245 Berkeley_71 4 0.8432
246 Berkeley_72 5 0.9632
247 Berkeley_73 3 0.8
248 Berkeley_75 1 0.6752
249 Berkeley_76 1 0.5688
250 Berkeley_77 9 0.9508
251 Berkeley_78 6 0.9992
252 Berkeley_79 7 0.9828
253 Berkeley_80 8 0.9956
254 Berkeley_81 7 0.9552
255 Berkeley_82 5 0.9996
256 Berkeley_83 3 0.9636
257 Berkeley_84 4 0.836
258 Berkeley_85 4 0.7444
259 Berkeley_86 1 0.7308
260 Berkeley_87 5 0.9432
261 Berkeley_89 10 1.0
262 Berkeley_90 9 0.9996
263 Berkeley_91 2 0.824
264 Berkeley_92 4 0.8992
265 Berkeley_93 1 0.4444
266 Berkeley_94 9 0.9924
267 Berkeley_95 5 0.9816
268 Berkeley_96 11 0.8488
269 Berkeley_97 4 0.872
270 Berkeley_98 4 0.8636
271 Berkeley_99 1 0.3596
272 Berkeley_100 4 0.9396
273 Berkeley_101 4 0.952
274 Berkeley_102 2 0.4092
275 Berkeley_103 3 0.918
276 Berkeley_104 4 0.984
277 Berkeley_14A 2 0.9
278 Bica_2 2 0.822
279 Bica_3 16 1.0
280 Bica_631 3 0.896
281 Biurakan_2 4 0.938
282 Blanco_1 0 0.0
283 Bochum_1 9 0.9124
284 Bochum_2 8 0.9284
285 Bochum_3 7 0.8776
286 Bochum_4 1 0.6316
287 Bochum_10 1 0.252
288 Bochum_13 3 0.7392
289 Bochum_14 17 1.0
290 Bochum_15 2 0.5064
291 Briceno_1 0 0.0
292 CBJC_8 0 0.0
293 CMa_2 3 0.8112
294 COIN-Gaia_3 3 0.9036
295 COIN-Gaia_4 0 0.0
296 COIN-Gaia_5 0 0.0
297 COIN-Gaia_6 2 0.766
298 COIN-Gaia_7 1 0.4908
299 COIN-Gaia_8 0 0.0
300 COIN-Gaia_9 0 0.0
301 COIN-Gaia_10 2 0.9132
302 COIN-Gaia_11 0 0.0
303 COIN-Gaia_12 2 0.6168
304 COIN-Gaia_13 0 0.0
305 COIN-Gaia_14 2 0.7548
306 COIN-Gaia_15 1 0.5416
307 COIN-Gaia_16 0 0.0
308 COIN-Gaia_18 0 0.0
309 COIN-Gaia_19 0 0.0
310 COIN-Gaia_20 0 0.0
311 COIN-Gaia_21 0 0.0
312 COIN-Gaia_23 2 0.6912
313 COIN-Gaia_24 1 0.588
314 COIN-Gaia_25 1 0.4876
315 COIN-Gaia_26 1 0.4876
316 COIN-Gaia_28 2 0.7576
317 COIN-Gaia_29 2 0.684
318 COIN-Gaia_30 0 0.0
319 COIN-Gaia_31 4 0.912
320 COIN-Gaia_32 2 0.6436
321 COIN-Gaia_33 2 0.6576
322 COIN-Gaia_34 0 0.0
323 COIN-Gaia_35 1 0.6404
324 COIN-Gaia_36 0 0.0
325 COIN-Gaia_37 1 0.65
326 COIN-Gaia_38 0 0.0
327 COIN-Gaia_39 2 0.6676
328 COIN-Gaia_40 0 0.0
329 COIN-Gaia_41 3 0.6976
330 CWNU_2 0 0.0
331 CWNU_3 0 0.0
332 CWNU_6 1 0.3148
333 CWNU_7 5 0.98
334 CWNU_10 1 0.5504
335 CWNU_11 1 0.4936
336 CWNU_14 0 0.0
337 CWNU_15 1 0.4052
338 CWNU_19 1 0.5148
339 CWNU_23 1 0.3416
340 CWNU_26 2 0.6556
341 CWNU_29 0 0.0
342 CWNU_32 4 0.9548
343 CWNU_35 0 0.0
344 CWNU_37 5 0.966
345 CWNU_38 0 0.0
346 CWNU_39 2 0.5692
347 CWNU_41 0 0.0
348 CWNU_42 3 0.8844
349 CWNU_45 0 0.0
350 CWNU_47 1 0.4364
351 CWNU_50 2 0.7076
352 CWNU_52 1 0.3808
353 CWNU_56 1 0.6088
354 CWNU_58 0 0.0
355 CWNU_61 2 0.9004
356 CWNU_62 1 0.3656
357 CWNU_65 0 0.0
358 CWNU_66 2 0.8156
359 CWNU_70 3 0.8788
360 CWNU_72 0 0.0
361 CWNU_73 3 0.9428
362 CWNU_77 0 0.0
363 CWNU_80 1 0.3664
364 CWNU_85 7 0.9576
365 CWNU_86 2 0.8412
366 CWNU_87 0 0.0
367 CWNU_88 0 0.0
368 CWNU_89 2 0.7232
369 CWNU_92 0 0.0
370 CWNU_95 1 0.3124
371 CWNU_96 2 0.6932
372 CWNU_98 6 0.9976
373 CWNU_101 4 0.9284
374 CWNU_102 2 0.684
375 CWNU_105 0 0.0
376 CWNU_110 1 0.4376
377 CWNU_111 0 0.0
378 CWNU_112 0 0.0
379 CWNU_114 0 0.0
380 CWNU_117 3 0.7092
381 CWNU_119 0 0.0
382 CWNU_120 3 0.8508
383 CWNU_121 0 0.0
384 CWNU_124 1 0.3768
385 CWNU_128 4 0.9692
386 CWNU_129 0 0.0
387 CWNU_132 4 0.89
388 CWNU_133 0 0.0
389 CWNU_134 2 0.8604
390 CWNU_135 2 0.7076
391 CWNU_136 0 0.0
392 CWNU_141 2 0.8296
393 CWNU_144 5 0.9284
394 CWNU_147 1 0.4172
395 CWNU_148 1 0.6528
396 CWNU_151 1 0.6784
397 CWNU_152 6 0.9992
398 CWNU_153 3 0.9616
399 CWNU_154 0 0.0
400 CWNU_155 3 0.81
401 CWNU_158 1 0.7
402 CWNU_161 1 0.3756
403 CWNU_162 1 0.5868
404 CWNU_164 0 0.0
405 CWNU_165 4 0.9316
406 CWNU_168 2 0.7628
407 CWNU_170 2 0.6868
408 CWNU_172 1 0.5064
409 CWNU_173 1 0.3628
410 CWNU_174 2 0.5868
411 CWNU_175 0 0.0
412 CWNU_180 1 0.6984
413 CWNU_181 5 0.9556
414 CWNU_182 1 0.2624
415 CWNU_183 4 0.9016
416 CWNU_189 2 0.7928
417 CWNU_193 9 0.9832
418 CWNU_195 2 0.8092
419 CWNU_201 0 0.0
420 CWNU_203 2 0.8152
421 CWNU_204 5 0.9556
422 CWNU_205 2 0.5712
423 CWNU_206 4 0.9432
424 CWNU_207 0 0.0
425 CWNU_209 0 0.0
426 CWNU_212 4 0.9644
427 CWNU_215 2 0.6636
428 CWNU_218 3 0.8508
429 CWNU_222 1 0.6468
430 CWNU_224 5 0.936
431 CWNU_226 1 0.4328
432 CWNU_229 3 0.7764
433 CWNU_230 3 0.6448
434 CWNU_232 1 0.5872
435 CWNU_236 1 0.2712
436 CWNU_239 0 0.0
437 CWNU_240 1 0.7248
438 CWNU_246 0 0.0
439 CWNU_249 3 0.8716
440 CWNU_252 4 0.9312
441 CWNU_255 3 0.7384
442 CWNU_260 0 0.0
443 CWNU_263 3 0.8996
444 CWNU_264 1 0.3924
445 CWNU_265 3 0.8512
446 CWNU_267 0 0.0
447 CWNU_268 1 0.512
448 CWNU_274 1 0.4664
449 CWNU_275 2 0.874
450 CWNU_277 2 0.8528
451 CWNU_279 3 0.7592
452 CWNU_281 0 0.0
453 CWNU_282 1 0.7072
454 CWNU_283 2 0.6204
455 CWNU_284 3 0.8596
456 CWNU_286 0 0.0
457 CWNU_287 1 0.6836
458 CWNU_296 4 0.9004
459 CWNU_299 1 0.7028
460 CWNU_301 0 0.0
461 CWNU_302 4 0.8536
462 CWNU_304 4 0.9408
463 CWNU_311 0 0.0
464 CWNU_312 2 0.8272
465 CWNU_313 0 0.0
466 CWNU_314 0 0.0
467 CWNU_317 2 0.786
468 CWNU_318 3 0.9396
469 CWNU_324 0 0.0
470 CWNU_325 2 0.6324
471 CWNU_326 3 0.4464
472 CWNU_330 1 0.7204
473 CWNU_331 0 0.0
474 CWNU_334 4 0.9392
475 CWNU_336 1 0.564
476 CWNU_337 2 0.6752
477 CWNU_338 2 0.8432
478 CWNU_339 0 0.0
479 CWNU_340 2 0.7324
480 CWNU_346 2 0.8348
481 CWNU_348 1 0.522
482 CWNU_350 1 0.544
483 CWNU_352 1 0.4084
484 CWNU_354 0 0.0
485 CWNU_356 1 0.4532
486 CWNU_358 0 0.0
487 CWNU_360 0 0.0
488 CWNU_361 0 0.0
489 CWNU_362 3 0.7792
490 CWNU_364 0 0.0
491 CWNU_367 2 0.8124
492 CWNU_368 0 0.0
493 CWNU_371 1 0.3592
494 CWNU_379 3 0.812
495 CWNU_382 0 0.0
496 CWNU_383 2 0.8916
497 CWNU_384 1 0.422
498 CWNU_385 0 0.0
499 CWNU_388 1 0.4028
500 CWNU_393 5 0.9824
501 CWNU_395 1 0.2228
502 CWNU_399 1 0.3276
503 CWNU_405 3 0.8096
504 CWNU_406 1 0.448
505 CWNU_407 2 0.696
506 CWNU_408 2 0.5148
507 CWNU_409 1 0.3764
508 CWNU_410 2 0.8592
509 CWNU_413 1 0.3976
510 CWNU_416 1 0.3288
511 CWNU_418 1 0.7052
512 CWNU_423 1 0.666
513 CWNU_426 3 0.796
514 CWNU_427 1 0.4252
515 CWNU_428 1 0.39
516 CWNU_429 0 0.0
517 CWNU_433 2 0.78
518 CWNU_434 6 0.9864
519 CWNU_435 1 0.3276
520 CWNU_437 1 0.774
521 CWNU_439 0 0.0
522 CWNU_440 3 0.9064
523 CWNU_445 6 0.992
524 CWNU_446 0 0.0
525 CWNU_448 6 1.0
526 CWNU_454 3 0.8632
527 CWNU_455 2 0.6864
528 CWNU_457 0 0.0
529 CWNU_458 2 0.8612
530 CWNU_459 2 0.8844
531 CWNU_460 0 0.0
532 CWNU_463 0 0.0
533 CWNU_464 1 0.6396
534 CWNU_466 0 0.0
535 CWNU_468 2 0.7784
536 CWNU_472 1 0.478
537 CWNU_475 0 0.0
538 CWNU_477 7 0.9796
539 CWNU_480 1 0.4652
540 CWNU_482 2 0.7404
541 CWNU_488 5 0.9164
