ID Name Ra Dec NumGS Coverage
1 1636-283 249.85574296 -28.39919379 4 0.3408
2 ADS_16795 352.59216492 58.55341329 1 0.1248
3 AH03_J0748+26.9 117.1558869 -26.97267949 3 0.362
4 ASCC_5 14.46908222 55.82917381 1 0.1244
5 ASCC_6 26.84215882 57.73860678 1 0.1264
6 ASCC_9 41.62390108 57.77684685 2 0.2176
7 ASCC_11 53.05042398 44.84076681 2 0.2348
8 ASCC_12 72.42059742 41.71429711 0 0.0
9 ASCC_13 78.22066967 44.36502692 0 0.0
10 ASCC_14 80.00385802 35.22905658 2 0.1812
11 ASCC_18 81.33025179 0.36762755 0 0.0
12 ASCC_19 81.97812989 -1.8560224 0 0.0
13 ASCC_20 82.19355425 1.72130405 0 0.0
14 ASCC_21 82.21204038 3.60658547 0 0.0
15 ASCC_23 95.02982828 46.68569526 0 0.0
16 ASCC_24 97.26088906 -7.03519235 0 0.0
17 ASCC_27 103.51203969 -4.51159597 3 0.246
18 ASCC_28 103.45291027 -0.1287823 2 0.206
19 ASCC_29 103.58953286 -1.66867729 2 0.176
20 ASCC_30 104.23729253 -6.21213759 0 0.0
21 ASCC_33 105.45444654 -24.43701314 1 0.0712
22 ASCC_36 108.6233592 -21.10056525 0 0.0
23 ASCC_45 124.14491525 -35.65482525 1 0.1068
24 ASCC_51 140.3967267 -69.8552943 0 0.0
25 ASCC_52 141.8228284 -54.50968599 3 0.312
26 ASCC_58 153.70559195 -55.02031159 1 0.088
27 ASCC_59 155.39603909 -57.67908029 1 0.1264
28 ASCC_60 158.17090211 -58.63124986 2 0.17
29 ASCC_61 161.59049343 -57.04482418 1 0.1248
30 ASCC_62 162.76183505 -60.08322363 2 0.202
31 ASCC_63 164.0968243 -60.47665098 5 0.5048
32 ASCC_65 167.83398675 -61.16702171 4 0.436
33 ASCC_66 168.34376049 -55.42612746 0 0.0
34 ASCC_67 175.37530127 -61.05654916 2 0.1824
35 ASCC_69 181.59366412 -69.85703281 3 0.31
36 ASCC_71 185.1690943 -67.52149108 3 0.3556
37 ASCC_72 193.76376292 -61.05354969 2 0.2328
38 ASCC_73 189.29220321 -67.21018149 1 0.114
39 ASCC_75 206.93197947 -62.4524761 0 0.0
40 ASCC_77 212.69603971 -62.36042349 1 0.1252
41 ASCC_79 229.36721461 -61.07482263 2 0.218
42 ASCC_84 238.68273064 -60.71272864 2 0.2156
43 ASCC_85 251.92430697 -45.57210398 3 0.2216
44 ASCC_87 255.69785201 -28.45807211 0 0.0
45 ASCC_88 256.85062355 -35.55640977 0 0.0
46 ASCC_90 264.76196704 -34.81736389 1 0.126
47 ASCC_93 271.91260729 -22.28335608 1 0.0608
48 ASCC_94 273.92216203 -14.90845919 1 0.096
49 ASCC_95 274.0570994 -25.8321451 2 0.1564
50 ASCC_99 282.17181947 -18.38406542 2 0.2212
51 ASCC_100 285.40308767 33.60094346 1 0.096
52 ASCC_101 288.34468256 36.35990257 1 0.1244
53 ASCC_104 294.6958354 18.61877529 0 0.0
54 ASCC_105 295.47160222 27.38609425 2 0.2396
55 ASCC_106 295.7915641 1.56308576 1 0.1264
56 ASCC_107 297.15176841 21.97962092 0 0.0
57 ASCC_108 298.38722026 39.34259987 1 0.0936
58 ASCC_110 300.72462084 33.52724535 4 0.3632
59 ASCC_111 302.96058097 37.53095892 1 0.0508
60 ASCC_113 317.96259567 38.54530468 2 0.2064
61 ASCC_114 325.06281466 53.98983419 0 0.0
62 ASCC_115 329.18989889 51.54924563 1 0.1256
63 ASCC_123 340.56270179 54.19891451 2 0.1988
64 ASCC_125 344.10169328 62.71052173 1 0.126
65 ASCC_127 347.30213146 65.18290876 0 0.0
66 ASCC_128 350.16142318 54.57336087 0 0.0
67 AT_4 126.03292919 -8.37472945 0 0.0
68 AT_21 15.09786677 55.4063363 0 0.0
69 Alessi_2 71.55704798 55.18407081 0 0.0
70 Alessi_3 109.18670262 -46.6802815 0 0.0
71 Alessi_5 160.90215568 -61.11150292 1 0.1248
72 Alessi_6 220.01119543 -66.13669172 0 0.0
73 Alessi_8 232.29794019 -51.31186297 2 0.1636
74 Alessi_9 265.64238701 -46.74400774 2 0.2504
75 Alessi_10 301.23229292 -10.52874723 0 0.0
76 Alessi_12 310.87081617 23.53846771 0 0.0
77 Alessi_13 51.99294197 -35.77331776 0 0.0
78 Alessi_17 113.85198536 -15.09840827 4 0.3896
79 Alessi_19 274.53414341 11.89734723 2 0.2232
80 Alessi_20 2.64349963 58.75651282 1 0.126
81 Alessi_21 107.59181197 -9.31830449 3 0.3188
82 Alessi_22 357.17231417 36.2292495 0 0.0
83 Alessi_24 260.97843601 -62.81755799 0 0.0
84 Alessi_31 267.74826086 -11.85713699 2 0.14
85 Alessi_33 105.70988129 -26.36541844 1 0.0676
86 Alessi_34 120.06233695 -50.65517502 0 0.0
87 Alessi_36 106.56512637 -37.59593941 0 0.0
88 Alessi_37 341.97069106 46.2901708 0 0.0
89 Alessi_40 279.27070851 -19.16822916 0 0.0
90 Alessi_43 132.57641692 -41.69151493 1 0.0764
91 Alessi_50 95.51796224 21.07346545 2 0.1952
92 Alessi_53 97.35196741 9.17805141 4 0.3008
93 Alessi_59 103.0751737 2.19746993 8 0.3804
94 Alessi_60 105.61974383 -1.11998444 6 0.3908
95 Alessi_62 283.96256779 21.60735561 4 0.3768
96 Alessi_72 106.53652935 -16.06804913 2 0.1608
97 Alessi_84 110.51006607 55.38448205 0 0.0
98 Alessi_94 5.26858208 46.53083994 1 0.1236
99 Alessi_96 75.48517133 37.4875441 0 0.0
100 Alessi_116 310.24437129 20.06965092 0 0.0
101 Alessi_144 112.59175546 5.71678329 1 0.11
102 Alessi_145 120.95358694 3.9850883 0 0.0
103 Alessi_161 283.78895209 12.32006789 3 0.3144
104 Alessi_170 100.45645653 -5.23928191 3 0.3104
105 Alessi_190 238.7476695 -47.61920524 2 0.1972
106 Alessi_191 282.13497588 22.06131497 2 0.1816
107 Alessi_80B 268.13156807 -38.67051789 4 0.338
108 Alessi_J0601.6+3531 90.39744412 35.52551595 2 0.196
109 Alessi_J0622.4+2114 95.59320864 21.24941095 0 0.0
110 Alessi_J1933.7+1147 293.4332191 11.79094954 3 0.2796
111 Alessi_J2327.0+55 352.05091731 55.61456581 1 0.1268
112 Alessi-Teutsch_3 118.28551424 -53.00078285 1 0.126
113 Alessi-Teutsch_5 332.04315074 61.05242842 0 0.0
114 Alessi-Teutsch_8 180.70298318 -60.95324402 0 0.0
115 Alessi-Teutsch_9 51.86276858 34.88647655 0 0.0
116 Alessi-Teutsch_10 56.3306327 29.74158911 0 0.0
117 Alessi-Teutsch_11 304.10168931 52.07425148 0 0.0
118 Alessi-Teutsch_12 255.41145475 -59.00764117 0 0.0
119 Andrews-Lindsay_5 281.07817144 -4.92992738 6 0.3084
120 Antalova_1 262.21135724 -31.61441196 0 0.0
121 Antalova_2 262.44418977 -32.55098917 1 0.0592
122 Archinal_1 283.70852293 5.54980035 5 0.4444
123 Arp_2 292.17692951 -30.3536403 3 0.2472
124 Auner_1 106.06351519 -19.7468929 4 0.3772
125 Aveni-Hunter_1 354.26258138 48.49009576 1 0.1244
126 BDSB_30 333.66292652 61.44353163 3 0.3176
127 BDSB_82 93.73365452 12.34906477 1 0.1256
128 BDSB_91 96.31552174 -10.55788755 5 0.2824
129 BDSB_93 104.29515076 -8.19506888 3 0.238
130 BDSB_96 106.33162133 -12.32451056 4 0.3424
131 BDSB_124 280.80150952 -3.62580196 5 0.4784
132 BH_19 121.7684795 -32.35786541 5 0.4836
133 BH_23 123.44775389 -36.3562227 2 0.2036
134 BH_37 128.94934769 -43.60432864 6 0.418
135 BH_54 132.41172498 -44.35319866 3 0.2424
136 BH_55 134.04050267 -39.52239231 1 0.06
137 BH_56 134.3693655 -43.22044909 0 0.0
138 BH_66 141.31666874 -54.71944957 5 0.4368
139 BH_67 141.68430393 -51.27311496 2 0.2012
140 BH_72 142.8419768 -53.04170424 10 0.67
141 BH_73 142.98187661 -50.22324762 4 0.4196
142 BH_75 143.80069106 -54.62675864 2 0.2252
143 BH_78 145.95099011 -56.57429224 3 0.2424
144 BH_79 146.1630838 -53.27497294 3 0.2816
145 BH_84 150.33053281 -58.22375019 11 0.6572
146 BH_85 150.46632467 -49.56158275 2 0.252
147 BH_87 151.14551475 -55.39112823 4 0.2964
148 BH_88 151.61548895 -51.55472154 1 0.1228
149 BH_90 153.05213814 -58.07528763 1 0.0548
150 BH_92 154.77382641 -56.42269665 5 0.4124
151 BH_99 159.55376765 -59.10926371 1 0.1172
152 BH_106 163.34897088 -54.24813215 0 0.0
153 BH_110 166.77134347 -61.50967266 8 0.5272
154 BH_111 167.31660268 -63.83025709 6 0.5872
155 BH_118 170.75696188 -58.54575293 4 0.3252
156 BH_131 186.56167898 -63.41572946 3 0.3032
157 BH_132 186.73128048 -64.05576826 7 0.5844
158 BH_140 193.45777358 -67.17982901 3 0.2788
159 BH_144 198.8332198 -65.91788942 4 0.4012
160 BH_150 204.51716848 -63.34404062 10 0.7528
161 BH_151 205.04414134 -61.72825146 14 0.712
162 BH_164 222.3238529 -66.39249343 0 0.0
163 BH_176 234.78082723 -50.05123204 3 0.2976
164 BH_184 242.76562051 -55.31961628 1 0.1264
165 BH_200 252.48219752 -44.1923048 5 0.358
166 BH_202 253.78720833 -40.95669515 6 0.506
167 BH_205 254.0326691 -40.65487212 1 0.0668
168 BH_211 255.52714971 -41.1121459 3 0.2304
169 BH_217 259.07312716 -40.81763023 9 0.62
170 BH_221 259.59353676 -32.38955234 1 0.1264
171 BH_222 259.6453276 -38.42510941 0 0.0
172 BH_229 262.77645316 -29.98455715 4 0.2428
173 BH_231 262.94560595 -31.91502594 4 0.422
174 BH_245 266.56445156 -29.706056 10 0.612
175 BH_261 273.52388355 -28.64037724 6 0.418
176 Barkhatova_1 313.40648205 46.02079841 2 0.2428
177 Basel_1 282.02652767 -5.86988899 1 0.1248
178 Basel_4 87.24311675 30.19188752 5 0.4372
179 Basel_8 98.57611698 7.8608743 0 0.0
180 Basel_10 34.86458596 58.29413605 2 0.2516
181 Basel_13 318.30670411 46.55076462 3 0.3316
182 Basel_17 167.63728151 -59.03539336 3 0.314
183 Basel_18 201.94883152 -62.30282084 2 0.128
184 Basel_11A 109.29335437 -13.9825289 1 0.054
185 Basel_11B 89.55009155 21.9736243 4 0.2808
186 Berkeley_1 2.45552746 60.47095503 4 0.3776
187 Berkeley_2 6.32180813 60.39113775 4 0.3616
188 Berkeley_4 11.29923015 64.39012758 3 0.3056
189 Berkeley_6 27.80588167 61.05801023 6 0.4244
190 Berkeley_7 28.5425983 62.36606203 7 0.5188
191 Berkeley_8 30.29730603 75.49071205 2 0.2372
192 Berkeley_9 53.17389187 52.65192139 0 0.0
193 Berkeley_10 54.88477481 66.48904483 1 0.1248
194 Berkeley_11 65.12077076 44.92386325 3 0.2864
195 Berkeley_12 71.09584468 42.69143768 2 0.218
196 Berkeley_13 73.95276608 52.81025872 2 0.2516
197 Berkeley_14 74.93325197 43.48151676 1 0.056
198 Berkeley_15 75.52380308 44.50728146 4 0.3796
199 Berkeley_17 80.14147184 30.57427186 1 0.0892
